Rank,Points
1,500
2,300
3,190
4,135
5,110
6,100
7,90
8,85
9,80
10,75
11,70
12,65
13,60
14,57
15,55
16,53
17,51
18,49
19,47
20,45
21,43
22,41
23,39
24,37
25,35.5
26,34
27,32.5
28,31
29,29.5
30,28
31,26.5
32,25
33,23.5
34,22
35,21
36,20
37,19
38,18
39,17
40,16
41,15
42,14
43,13
44,12
45,11
46,10.5
47,10
48,9.5
49,9
50,8.5
51,8
52,7.5
53,7
54,6.5
55,6
56,5.8
57,5.6
58,5.4
59,5.2
60,5
61,4.8
62,4.6
63,4.4
64,4.2
65,4
66,3.8
67,3.6
68,3.4
69,3.2
70,3
71,2.9
72,2.8
73,2.7
74,2.6
75,2.5
76,2.4
77,2.3
78,2.2
79,2.1
80,2
81,1.9
82,1.8
83,1.7
84,1.6
85,1.5
